регион,дата,девелопер,проект,м2,шт,локация SMLT,координаты,индекс,индекс_проект,АТД,кол-во месяцев для темпа
Москва,01.03.2023,ПИК,Академика Павлова,"2201,4",39,0,,,Академика Павлова,0,11
Москва,01.03.2023,ПИК,Алтуфьевское 53,"4917,7",128,0,,,Алтуфьевское 53,0,11
Москва,01.03.2023,ПИК,Амурский Парк,"3819,6",96,0,,,Амурский Парк,0,11
Москва,01.03.2023,ПИК,Барклая 6,"2729,6",44,0,,,Барклая 6,0,11
МО,01.03.2023,ПИК,Белая Дача Парк,"4544,5",105,ТОМИЛИНО ПАРК / ЕГОРОВО ПАРК,"[55.657042, 37.873772]",4,4_Белая Дача Парк,Котельники городской округ,11
Москва,01.03.2023,ПИК,Большая Академическая 85,"497,4",11,0,,,Большая Академическая 85,0,11
Москва,01.03.2023,ПИК,Большая Очаковская 2,"1576,2",37,ВЕРЕЙСКАЯ 41,"[55.692024, 37.467509]",3,3_Большая Очаковская 2,ЗАО,11
НМ,01.03.2023,ПИК,Бунинские луга,"2880,9",74,АЛХИМОВО / ОСТАФЬЕВО / ПОДОЛЬСКИЕ КВАРТАЛЫ / ЭКО БУНИНО,"[55.543718, 37.482062]",3,3_Бунинские луга,НАО,11
Москва,01.03.2023,ПИК,Бусиновский парк,3325,84,0,,,Бусиновский парк,0,11
Москва,01.03.2023,ПИК,Вангарден,"2492,4",54,ВЕРЕЙСКАЯ 41,"[55.693886, 37.459684]",4,4_Вангарден,ЗАО,11
Москва,01.03.2023,ПИК,Волжский парк,"2375,2",70,0,,,Волжский парк,0,11
Москва,01.03.2023,ПИК,Волоколамское 24,"27,9",1,0,,,Волоколамское 24,0,11
Москва,01.03.2023,ПИК,Второй Нагатинский,"4564,4",103,0,,,Второй Нагатинский,0,11
Москва,01.03.2023,ПИК,Грин Парк,"1743,7",32,0,,,Грин Парк,0,11
Москва,01.03.2023,ПИК,Дмитровский парк,"509,1",12,0,,,Дмитровский парк,0,11
МО,01.03.2023,ПИК,Жулебино Парк,"2036,8",56,ЛЮБЕРЦЫ / НОВОГРАД ПАВЛИНО,"[55.677194, 37.866082]",3,3_Жулебино Парк,Люберцы городской округ,11
Москва,01.03.2023,ПИК,Зеленый парк,"3500,8",100,0,,,Зеленый парк,0,11
МО,01.03.2023,ПИК,Измайловский леc,"740,9",15,КВАРТАЛ АВИАТОРОВ,"[55.785146, 37.850363]",1,1_Измайловский леc,Балашиха городской округ,11
МО,01.03.2023,ПИК,Ильинские луга,"7551,8",205,0,,,Ильинские луга,0,11
Москва,01.03.2023,ПИК,Кавказский 51,1776,38,0,,,Кавказский 51,0,11
Москва,01.03.2023,ПИК,Кольская 8,"2623,6",62,0,,,Кольская 8,0,11
Москва,01.03.2023,ПИК,Красноказарменная 15,"1117,7",25,0,,,Красноказарменная 15,0,11
Москва,01.03.2023,ПИК,Кронштадтский 14,"2268,4",49,0,,,Кронштадтский 14,0,11
Москва,01.03.2023,ПИК,Кронштадтский 9,"3242,5",51,0,,,Кронштадтский 9,0,11
МО,01.03.2023,ПИК,Кузьминский лес,"949,2",24,ТОМИЛИНО ПАРК / ЕГОРОВО ПАРК,"[55.662598, 37.854781]",2,2_Кузьминский лес,Котельники городской округ,11
Москва,01.03.2023,ПИК,Лосиноостровский парк,"2619,8",58,0,,,Лосиноостровский парк,0,11
МО,01.03.2023,ПИК,Люберцы Парк,"39,7",1,0,,,Люберцы Парк,0,11
Москва,01.03.2023,ПИК,Люблинский парк,"6208,8",164,КВАРТАЛ ДОМАШНИЙ / КВАРТАЛ НА ВОДЕ,"[55.662060, 37.731560]",3,3_Люблинский парк,ЮВАО,11
Москва,01.03.2023,ПИК,Матвеевский парк,5294,124,0,,,Матвеевский парк,0,11
Москва,01.03.2023,ПИК,Митинский лес,"4164,1",105,БОЛЬШОЕ ПУТИЛКОВО / ПЯТНИЦКОЕ 58,"[55.861683, 37.374618]",4,4_Митинский лес,СЗАО,11
Москва,01.03.2023,ПИК,Михайловский парк,"1641,9",40,0,,,Михайловский парк,0,11
Москва,01.03.2023,ПИК,Мичуринский парк,"3378,8",83,0,,,Мичуринский парк,0,11
Москва,01.03.2023,ПИК,Никольские луга,"2361,7",58,АЛХИМОВО / ОСТАФЬЕВО / ПОДОЛЬСКИЕ КВАРТАЛЫ / ЭКО БУНИНО,"[55.520161, 37.572145]",1,1_Никольские луга,ЮЗАО,11
Москва,01.03.2023,ПИК,Новое Очаково,"3893,7",85,0,,,Новое Очаково,0,11
Москва,01.03.2023,ПИК,Новохохловская 15,"604,7",13,0,,,Новохохловская 15,0,11
МО,01.03.2023,ПИК,Одинцово-1,"3475,2",83,РУБЛЁВСКИЙ КВАРТАЛ,"[55.655397, 37.270481]",5,5_Одинцово-1,Одинцово городской округ,11
Москва,01.03.2023,ПИК,Открытый парк,"2335,7",59,0,,,Открытый парк,0,11
Москва,01.03.2023,ПИК,Первый Дубровский,"2001,3",46,0,,,Первый Дубровский,0,11
Москва,01.03.2023,ПИК,Перовское 2,"2474,7",71,0,,,Перовское 2,0,11
Москва,01.03.2023,ПИК,Полар,"2616,5",66,МЫТИЩИ ПАРК / ДОЛИНА ЯУЗЫ,"[55.892933, 37.643937]",5,5_Полар,СВАО,11
Москва,01.03.2023,ПИК,Полярная 25,"1946,1",36,0,,,Полярная 25,0,11
Москва,01.03.2023,ПИК,Римского-Корсакова 11,"1307,2",26,0,,,Римского-Корсакова 11,0,11
Москва,01.03.2023,ПИК,Руставели 14,"2898,4",61,ОКТЯБРЬСКАЯ 98,"[55.812141, 37.599946]",6,6_Руставели 14,СВАО,11
НМ,01.03.2023,ПИК,Саларьево Парк,"3792,9",94,ТРОПАРЁВО ПАРК / КВАРТАЛ РУМЯНЦЕВО,"[55.617103, 37.414014]",3,3_Саларьево Парк,НАО,11
НМ,01.03.2023,ПИК,Середневский лес,"3667,5",98,НОВОЕ ВНУКОВО / ЗАПАДНЫЙ КВАРТАЛ / КВАРТАЛ МАРЬИНО / ЦВЕТОЧНЫЕ ПОЛЯНЫ,"[55.567989, 37.285681]",4,4_Середневский лес,НАО,11
Москва,01.03.2023,ПИК,Сигнальный 16,"2323,1",47,0,,,Сигнальный 16,0,11
МО,01.03.2023,ПИК,Томилинский бульвар,1463,36,ТОМИЛИНО ПАРК / ЕГОРОВО ПАРК,"[55.662616, 37.867322]",3,3_Томилинский бульвар,Котельники городской округ,10
Москва,01.03.2023,ПИК,Холланд Парк,"3028,3",66,0,,,Холланд Парк,0,11
НМ,01.03.2023,ПИК,Юнино,"823,2",18,0,,,Юнино,0,10
Москва,01.03.2023,ПИК,Ютаново,2246,50,0,,,Ютаново,0,11
Москва,01.03.2023,ПИК (Forma),Портлэнд,"2162,2",38,0,,,Портлэнд,0,10
Москва,01.03.2023,ПИК (Forma),Репаблик,"1590,9",20,0,,,Репаблик,0,11
Москва,01.03.2023,ПИК (Forma),Соул,"2923,6",54,0,,,Соул,0,10
Москва,01.03.2023,ПИК (Forma),Форст,593,8,НОВОДАНИЛОВСКАЯ 8,"[55.705952, 37.631786]",3,3_Форст,ЮАО,11
Москва,01.03.2023,Пионер,Лайф Варшавская,"3313,8",46,0,,,Лайф Варшавская,0,11
Москва,01.03.2023,Пионер,Прайд,"1501,2",21,ОКТЯБРЬСКАЯ 98,"[55.798583, 37.599694]",4,4_Прайд,СВАО,11
Москва,01.03.2023,Пионер,Хай Лайф,"896,1",10,СТРЕМЯННЫЙ 2,"[55.725578, 37.645064]",4,4_Хай Лайф,ЮАО,11
Москва,01.03.2023,Прима Мех,Тургенев,"149,4",1,0,,,Тургенев,0,11
МО,01.03.2023,Проксима-1,Москворецкий (Тучково),"41,2",1,0,,,Москворецкий (Тучково),0,11
МО,01.03.2023,Профи Инвест,31-й квартал (Пушкино),"370,5",8,0,,,31-й квартал (Пушкино),0,11
МО,01.03.2023,Профи Инвест,Ривер Парк (Королев),"1415,1",26,0,,,Ривер Парк (Королев),0,11
МО,01.03.2023,Профи Инвест,Тургенева 9-13 (Пушкино),"762,6",13,0,,,Тургенева 9-13 (Пушкино),0,11
МО,01.03.2023,Р Инвест,Дом на Сиреневой,"776,8",16,0,,,Дом на Сиреневой,0,11
МО,01.03.2023,Р Инвест,Солнечная долина,"467,7",8,0,,,Солнечная долина,0,11
МО,01.03.2023,Р Инвест,Солнечный Парк 2,"295,7",6,0,,,Солнечный Парк 2,0,11
Москва,01.03.2023,РГ Девелопмент,Михалковский,"664,3",16,0,,,Михалковский,0,11
Москва,01.03.2023,РГ Девелопмент,Петровский парк 2,"799,6",16,0,,,Петровский парк 2,0,11
Москва,01.03.2023,РГ Девелопмент,Родной Город. Октябрьское поле,"3077,3",63,ВЕРЕСК / МЯТА,"[55.790656, 37.471066]",7,7_Родной Город. Октябрьское поле,СЗАО,11
МО,01.03.2023,Региондевелопмент,Пилот 9 18,"573,7",10,0,,,Пилот 9 18,0,11
МО,01.03.2023,Риверхаус,Ривер Хаус,"560,1",6,0,,,Ривер Хаус,0,11
МО,01.03.2023,РК-Газсетьсервис Коломна,Подлипки Город,"165,8",3,0,,,Подлипки Город,0,11
Москва,01.03.2023,РКС Девелопмент,Инсайдер,"83,7",2,0,,,Инсайдер,0,11
НМ,01.03.2023,Родина,Рашн Дизайн Дистрикт,"334,4",6,0,,,Рашн Дизайн Дистрикт,0,11
Москва,01.03.2023,Родина,Союз,"792,7",10,0,,,Союз,0,11
Москва,01.03.2023,Рождествено,Митинский лес,"38,1",1,БОЛЬШОЕ ПУТИЛКОВО / ПЯТНИЦКОЕ 58,"[55.861683, 37.374618]",4,4_Митинский лес,СЗАО,11
МО,01.03.2023,Рос Евро Сити,Шолохово,"187,2",3,0,,,Шолохово,0,11
МО,01.03.2023,Рос Евро Сити,Южное Пушкино,"735,7",12,0,,,Южное Пушкино,0,11
МО,01.03.2023,Русич,Новые Котельники,"2147,3",54,ТОМИЛИНО ПАРК / ЕГОРОВО ПАРК,"[55.639301, 37.848220]",1,1_Новые Котельники,Котельники городской округ,11
МО,01.03.2023,Русстрой,Новое Лыткарино,"814,7",19,0,,,Новое Лыткарино,0,11
МО,01.03.2023,Сабидом,Белый город (Николо-Черкизово),"127,2",1,0,,,Белый город (Николо-Черкизово),0,0
МО,01.03.2023,Садовое кольцо ГК,М5,"544,8",10,СПУТНИК / КВАРТАЛ СТРОГИНО,"[55.812862, 37.354391]",2,2_М5,Красногорск городской округ,11
МО,01.03.2023,Садовое кольцо ГК,Тетрис,"1853,2",48,СПУТНИК / КВАРТАЛ СТРОГИНО,"[55.817158, 37.343353]",3,3_Тетрис,Красногорск городской округ,11
НМ,01.03.2023,Самолет,Алхимово,"3306,08",86,АЛХИМОВО / ОСТАФЬЕВО / ПОДОЛЬСКИЕ КВАРТАЛЫ / ЭКО БУНИНО,"[55.474459, 37.528765]",8,8_Алхимово,НАО,11
МО,01.03.2023,Самолет,Большое Путилково,"1876,7",47,БОЛЬШОЕ ПУТИЛКОВО / ПЯТНИЦКОЕ 58,"[55.866757, 37.386927]",6,6_Большое Путилково,Красногорск городской округ,11
Москва,01.03.2023,Самолет,Верейская 41,"493,9",10,ВЕРЕЙСКАЯ 41,"[55.711666, 37.429393]",6,6_Верейская 41,ЗАО,11
Москва,01.03.2023,МИЦ,Вереск,"666,1",10,ВЕРЕСК / МЯТА,"[55.784648, 37.494212]",8,8_Вереск,СЗАО,11
МО,01.03.2023,Самолет,Горки Парк,"8506,72",196,ПРИГОРОД ЛЕСНОЕ / ГОРКИ ПАРК / БОГДАНОВСКИЙ ЛЕС,"[55.527217, 37.823439]",4,4_Горки Парк,Ленинский городской округ,11
МО,01.03.2023,Самолет,Долина Яузы,"785,28",15,МЫТИЩИ ПАРК / ДОЛИНА ЯУЗЫ,"[55.889315, 37.713414]",8,8_Долина Яузы,Мытищи городской округ,11
МО,01.03.2023,Самолет,Егорово Парк,"2137,15",48,ТОМИЛИНО ПАРК / ЕГОРОВО ПАРК,"[55.639263, 37.943287]",5,5_Егорово Парк,Люберцы городской округ,11
МО,01.03.2023,Самолет,Заречье Парк,"940,5",20,ЗАРЕЧЬЕ ПАРК,"[55.684980, 37.408362]",4,4_Заречье Парк,Одинцово городской округ,11
НМ,01.03.2023,Самолет,Квартал Западный,"1275,54",36,НОВОЕ ВНУКОВО / ЗАПАДНЫЙ КВАРТАЛ / КВАРТАЛ МАРЬИНО / ЦВЕТОЧНЫЕ ПОЛЯНЫ,"[55.582897, 37.145202]",7,7_Квартал Западный,НАО,9
МО,01.03.2023,Самолет,Квартал Ивакино,"1312,82",30,МОЛЖАНИНОВО / КВАРТАЛ ИВАКИНО,"[55.951205, 37.469831]",4,4_Квартал Ивакино,Химки городской округ,11
МО,01.03.2023,Самолет,Квартал Сабурово,"1990,98",51,ПЯТНИЦКИЕ ЛУГА / КВАРТАЛ САБУРОВО,"[55.881746, 37.252491]",4,4_Квартал Сабурово,Красногорск городской округ,10
МО,01.03.2023,Самолет,Люберцы,"4116,77",101,ЛЮБЕРЦЫ / НОВОГРАД ПАВЛИНО,"[55.698227, 37.954578]",6,6_Люберцы,Люберцы городской округ,11
Москва,01.03.2023,Самолет,Молжаниново,"4846,44",109,МОЛЖАНИНОВО / КВАРТАЛ ИВАКИНО,"[55.934994, 37.362195]",5,5_Молжаниново,САО,11
МО,01.03.2023,Самолет,Мытищи Парк,"8936,13",210,МЫТИЩИ ПАРК / ДОЛИНА ЯУЗЫ,"[55.945968, 37.769712]",9,9_Мытищи Парк,Мытищи городской округ,11
Москва,01.03.2023,МИЦ,Мята,"1720,8",34,ВЕРЕСК / МЯТА,"[55.770803, 37.517938]",9,9_Мята,САО,11
Москва,01.03.2023,Самолет,Некрасовка,"673,94",11,0,,,Некрасовка,0,11
МО,01.03.2023,МИЦ,Новоград Павлино,"3662,8",95,ЛЮБЕРЦЫ / НОВОГРАД ПАВЛИНО,"[55.725017, 37.975653]",5,5_Новоград Павлино,Балашиха городской округ,11
Москва,01.03.2023,Самолет,Новоданиловская 8,"436,6",8,НОВОДАНИЛОВСКАЯ 8,"[55.696778, 37.624588]",7,7_Новоданиловская 8,ЮАО,11
МО,01.03.2023,Самолет,Новое Видное,"2340,76",64,ПРИБРЕЖНЫЙ ПАРК / НОВОЕ ВИДНОЕ,"[55.511366, 37.738018]",5,5_Новое Видное,Ленинский городской округ,9
НМ,01.03.2023,Самолет,Новое Внуково,"5817,72",132,НОВОЕ ВНУКОВО / ЗАПАДНЫЙ КВАРТАЛ / КВАРТАЛ МАРЬИНО / ЦВЕТОЧНЫЕ ПОЛЯНЫ,"[55.587682, 37.169816]",8,8_Новое Внуково,НАО,11
Москва,01.03.2023,МИЦ,Октябрьская 98,"1868,6",46,ОКТЯБРЬСКАЯ 98,"[55.799789, 37.614735]",7,7_Октябрьская 98,Домодедово городской округ,11
НМ,01.03.2023,Самолет,Остафьево,"6135,36",137,АЛХИМОВО / ОСТАФЬЕВО / ПОДОЛЬСКИЕ КВАРТАЛЫ / ЭКО БУНИНО,"[55.499117, 37.517850]",9,9_Остафьево,НАО,11
МО,01.03.2023,Самолет,Прибрежный Парк,"6271,65",153,ПРИБРЕЖНЫЙ ПАРК / НОВОЕ ВИДНОЕ,"[55.495787, 37.737974]",6,6_Прибрежный Парк,Домодедово городской округ,11
МО,01.03.2023,Самолет,Пригород лесное,"10058,47",242,ПРИГОРОД ЛЕСНОЕ / ГОРКИ ПАРК / БОГДАНОВСКИЙ ЛЕС,"[55.558797, 37.815771]",5,5_Пригород лесное,Ленинский городской округ,11
МО,01.03.2023,Самолет,Пятницкие Луга,"2741,45",65,ПЯТНИЦКИЕ ЛУГА / КВАРТАЛ САБУРОВО,"[55.894926, 37.250655]",5,5_Пятницкие Луга,Солнечногорск городской округ,11
Москва,01.03.2023,МИЦ,Пятницкое 58,"713,9",30,БОЛЬШОЕ ПУТИЛКОВО / ПЯТНИЦКОЕ 58,"[55.863400, 37.355536]",5,5_Пятницкое 58,СЗАО,11
МО,01.03.2023,Самолет,Рублевский Квартал,"1914,52",38,РУБЛЁВСКИЙ КВАРТАЛ,"[55.701301, 37.207325]",6,6_Рублевский Квартал,Одинцово городской округ,11
МО,01.03.2023,Самолет,Спутник,"2514,29",54,СПУТНИК / КВАРТАЛ СТРОГИНО,"[55.799967, 37.375683]",7,7_Спутник,Красногорск городской округ,11
Москва,01.03.2023,МИЦ,Стремянный 2,"571,2",12,СТРЕМЯННЫЙ 2,"[55.728882, 37.636162]",6,6_Стремянный 2,ЦАО,11
МО,01.03.2023,Самолет,Томилино парк,"2757,41",71,ТОМИЛИНО ПАРК / ЕГОРОВО ПАРК,"[55.623016, 37.947433]",6,6_Томилино парк,Люберцы городской округ,11
НМ,01.03.2023,Самолет,Тропарево парк,"1416,84",31,ТРОПАРЁВО ПАРК / КВАРТАЛ РУМЯНЦЕВО,"[55.633582, 37.454690]",5,5_Тропарево парк,НАО,11
НМ,01.03.2023,МИЦ,Цветочные поляны,"9090,8",204,НОВОЕ ВНУКОВО / ЗАПАДНЫЙ КВАРТАЛ / КВАРТАЛ МАРЬИНО / ЦВЕТОЧНЫЕ ПОЛЯНЫ,"[55.560444, 37.309453]",5,5_Цветочные поляны,НАО,11
НМ,01.03.2023,МИЦ,Эко Бунино,"2421,4",49,АЛХИМОВО / ОСТАФЬЕВО / ПОДОЛЬСКИЕ КВАРТАЛЫ / ЭКО БУНИНО,"[55.543638, 37.458920]",6,6_Эко Бунино,НАО,11
Москва,01.03.2023,Сбербанк,Сберсити,"2701,6",46,0,,,Сберсити,0,5
Москва,01.03.2023,СЗ Вэллби,Вэллби,"54,6",2,0,,,Вэллби,0,10
Москва,01.03.2023,СЗ Доходный дом,Ом,"119,7",2,0,,,Ом,0,11
Москва,01.03.2023,СЗ Звездный,Сенатор,"160,8",2,ОКТЯБРЬСКАЯ 98,"[55.814146, 37.634410]",1,1_Сенатор,СВАО,11
Москва,01.03.2023,СЗ Прогресс,Байрес,"316,4",8,0,,,Байрес,0,11
МО,01.03.2023,Сити Эстейт,Центральный (Звенигород),"132,1",3,0,,,Центральный (Звенигород),0,11
МО,01.03.2023,Сити XXI век,Восемь кленов,"887,4",12,ПЯТНИЦКИЕ ЛУГА / КВАРТАЛ САБУРОВО,"[55.834593, 37.247610]",2,2_Восемь кленов,Красногорск городской округ,11
МО,01.03.2023,Сити XXI век,Рафинад,"325,2",7,0,,,Рафинад,0,11
Москва,01.03.2023,СК Олимпийский 10,Соле Хиллс,"481,6",10,0,,,Соле Хиллс,0,11
МО,01.03.2023,Содружество,Сказка,"351,8",5,0,,,Сказка,0,11
Москва,01.03.2023,Союзцветавтоматика,Кинетик,"1884,5",43,0,,,Кинетик,0,11
Москва,01.03.2023,Спецстрой 1,Поклонная 7,"200,4",5,0,,,Поклонная 7,0,11
Москва,01.03.2023,Стилобат,Лайон Гейт,"388,8",1,0,,,Лайон Гейт,0,0
МО,01.03.2023,Строительный трест 10,Лесная поляна,"2242,3",35,0,,,Лесная поляна,0,11
Москва,01.03.2023,Стройвос,Вдохновение (Москва),"263,9",2,0,,,Вдохновение (Москва),0,11
МО,01.03.2023,Стройпромавтоматика,Восточный (Звенигород),"168,1",5,0,,,Восточный (Звенигород),0,11
МО,01.03.2023,Стройспецмонтаж,Мой город (Электрогорск),"157,3",3,0,,,Мой город (Электрогорск),0,11
МО,01.03.2023,Стройтек,Союзный,"1553,3",29,РУБЛЁВСКИЙ КВАРТАЛ,"[55.660516, 37.287846]",2,2_Союзный,Одинцово городской округ,11
МО,01.03.2023,Стройтехинвест,Сердце Одинцово,"681,9",16,0,,,Сердце Одинцово,0,11
МО,01.03.2023,Стройтэкс,Цветочный город,"260,5",4,0,,,Цветочный город,0,11
МО,01.03.2023,Стройэксперт,Лермонтова 10 (Королев),"49,6",2,0,,,Лермонтова 10 (Королев),0,11
МО,01.03.2023,СФД,Космос (Домодедово),"782,4",15,0,,,Космос (Домодедово),0,11
МО,01.03.2023,Сходня 10 ЖСК,Фрунзенский,"1114,5",32,0,,,Фрунзенский,0,11
Москва,01.03.2023,Ташир,Легаси,"524,2",7,0,,,Легаси,0,11
Москва,01.03.2023,Ташир,Стеллар Сити,"265,3",7,ЗАРЕЧЬЕ ПАРК,"[55.701237, 37.394988]",1,1_Стеллар Сити,ЗАО,11
МО,01.03.2023,Текс,Серпуховская,"206,6",4,0,,,Серпуховская,0,9
МО,01.03.2023,Техноолимпстрой,Майданово Парк,"77,4",2,0,,,Майданово Парк,0,11
МО,01.03.2023,ТКС,Гармония Парк,"92,3",5,0,,,Гармония Парк,0,11
МО,01.03.2023,Топаз,Мессиер 18,"252,2",3,0,,,Мессиер 18,0,10
Москва,01.03.2023,Трансстройинвест,Проспект 39,171,5,0,,,Проспект 39,0,6
МО,01.03.2023,Трансфорт,Высокие жаворонки,469,10,0,,,Высокие жаворонки,0,11
МО,01.03.2023,Тройка РЭД,Видный берег 2,"1555,8",32,ПРИБРЕЖНЫЙ ПАРК / НОВОЕ ВИДНОЕ,"[55.533145, 37.718462]",2,2_Видный берег 2,Ленинский городской округ,11
МО,01.03.2023,Тройка РЭД,Новотомилино,522,14,0,,,Новотомилино,0,11
МО,01.03.2023,Тройка РЭД,Облака 2.0,"2905,6",67,ЛЮБЕРЦЫ / НОВОГРАД ПАВЛИНО,"[55.679113, 37.911160]",2,2_Облака 2.0,Люберцы городской округ,11
Москва,01.03.2023,УЭЗ,Вилл Тауэрс,"1407,2",20,0,,,Вилл Тауэрс,0,11
Москва,01.03.2023,УЭЗ,Инноватор,333,6,0,,,Инноватор,0,11
Москва,01.03.2023,УЭЗ,Интеллигент,"694,3",14,0,,,Интеллигент,0,11
МО,01.03.2023,Ферро-Строй,Катуар,433,8,0,,,Катуар,0,11
Москва,01.03.2023,Ферро-Строй,Ривер Парк,"1981,8",27,0,,,Ривер Парк,0,11
МО,01.03.2023,Финтрастойл,Ступино Сити,"72,3",2,0,,,Ступино Сити,0,0
МО,01.03.2023,Фобос,Угрешская 1 (Дзержинский),"63,6",1,0,,,Угрешская 1 (Дзержинский),0,11
Москва,01.03.2023,ФСК,Архитектор,"623,5",10,0,,,Архитектор,0,11
МО,01.03.2023,ФСК,Датский квартал,"3297,2",61,МЫТИЩИ ПАРК / ДОЛИНА ЯУЗЫ,"[55.901767, 37.639462]",6,6_Датский квартал,Мытищи городской округ,11
НМ,01.03.2023,ФСК,Движение Говорово,"151,8",3,ТРОПАРЁВО ПАРК / КВАРТАЛ РУМЯНЦЕВО,"[55.648650, 37.439018]",2,2_Движение Говорово,НАО,11
Москва,01.03.2023,ФСК,Лэйк,"480,5",5,0,,,Лэйк,0,10
Москва,01.03.2023,ФСК,Первый Ленинградский,6441,115,МОЛЖАНИНОВО / КВАРТАЛ ИВАКИНО,"[55.932430, 37.384927]",3,3_Первый Ленинградский,САО,11
МО,01.03.2023,ФСК,Первый Лермонтовский,"3468,2",69,ЛЮБЕРЦЫ / НОВОГРАД ПАВЛИНО,"[55.680815, 37.913278]",4,4_Первый Лермонтовский,Люберцы городской округ,11
Москва,01.03.2023,ФСК,Режиссер,"1766,2",24,0,,,Режиссер,0,11
МО,01.03.2023,ФСК,Римский,"2482,3",43,0,,,Римский,0,11
Москва,01.03.2023,ФСК,Роттердам,"712,5",11,НОВОДАНИЛОВСКАЯ 8,"[55.686006, 37.625426]",2,2_Роттердам,ЮАО,11
Москва,01.03.2023,ФСК,Сидней Сити,"3021,5",48,0,,,Сидней Сити,0,11
Москва,01.03.2023,ФСК,Скай Гарден,"3910,9",68,0,,,Скай Гарден,0,11
МО,01.03.2023,ФСК,Скандинавский,"684,9",13,0,,,Скандинавский,0,11
МО,01.03.2023,ФСК,Южная Битца,"5593,5",99,0,,,Южная Битца,0,11
НМ,01.03.2023,Центр Инвест,Городские истории,"1106,3",20,0,,,Городские истории,0,11
Москва,01.03.2023,Центр Инвест,Настоящее,"338,2",4,0,,,Настоящее,0,11
Москва,01.03.2023,Центр Инвест,Фестиваль Парк 2,"868,1",15,0,,,Фестиваль Парк 2,0,11
НМ,01.03.2023,ЦентрСтрой,Эдельвейс (Рогозинино),"306,9",4,0,,,Эдельвейс (Рогозинино),0,11
Москва,01.03.2023,Э.К. Девелопмент,Зеленая вертикаль,"1607,6",37,0,,,Зеленая вертикаль,0,11
Москва,01.03.2023,Экран,Русские сезоны,"575,7",4,0,,,Русские сезоны,0,11
МО,01.03.2023,Элкон,Орджоникидзе 2Б,175,3,0,,,Орджоникидзе 2Б,0,8
Москва,01.03.2023,Энергостройинвест,Селф,249,4,0,,,Селф,0,11
Москва,01.03.2023,Эталон,Воксхолл,"492,6",9,СТРЕМЯННЫЙ 2,"[55.727558, 37.642897]",3,3_Воксхолл,ЦАО,11
Москва,01.03.2023,Эталон,Шагал,"3481,7",49,НОВОДАНИЛОВСКАЯ 8,"[55.686989, 37.640057]",6,6_Шагал,ЮАО,11
Москва,01.03.2023,Эталон (проекты Лидер Инвест),Нагатино Ай Лэнд,"627,4",10,0,,,Нагатино Ай Лэнд,0,11
МО,01.03.2023,ЭХО,Лесная (Большевик),"309,7",5,0,,,Лесная (Большевик),0,0
МО,01.03.2023,ЮИТ,Десятка,292,6,0,,,Десятка,0,11
МО,01.03.2023,ЮИТ,Финский,"410,5",10,0,,,Финский,0,11
Москва,01.03.2023,AB Development,Вишневый сад,"727,7",6,0,,,Вишневый сад,0,11
Москва,01.03.2023,AEON Corporation,Ривер Парк Тауэрс,"1598,3",21,0,,,Ривер Парк Тауэрс,0,11
Москва,01.03.2023,AFI Development,Афи Парк Воронцовский,"428,4",8,0,,,Афи Парк Воронцовский,0,11
Москва,01.03.2023,AFI Development,Афи Тауэр,"915,1",26,0,,,Афи Тауэр,0,11
МО,01.03.2023,AFI Development,Одинбург,"843,4",16,РУБЛЁВСКИЙ КВАРТАЛ,"[55.681265, 37.245342]",3,3_Одинбург,Одинцово городской округ,11
Москва,01.03.2023,AFI Development,Сиреневый парк,"1514,8",41,0,,,Сиреневый парк,0,11
Москва,01.03.2023,Ant Development,Виктори Парк Резиденс,"265,1",4,0,,,Виктори Парк Резиденс,0,11
Москва,01.03.2023,Ant Development,Поклонная 9,"658,7",5,0,,,Поклонная 9,0,11
Москва,01.03.2023,Apsis Globe,Сити Микc,"300,4",14,ТРОПАРЁВО ПАРК / КВАРТАЛ РУМЯНЦЕВО,"[55.661176, 37.453333]",1,1_Сити Микc,ЗАО,11
Москва,01.03.2023,Asterus Development,Алиа,"3434,1",53,0,,,Алиа,0,11
МО,01.03.2023,Author Development,Олимп-2 (Хотьково),"427,5",9,0,,,Олимп-2 (Хотьково),0,11
НМ,01.03.2023,Barkli,Медовая Долина,"243,8",4,0,,,Медовая Долина,0,11
МО,01.03.2023,BTR Group,Кит,"1625,2",48,0,,,Кит,0,11
Москва,01.03.2023,Capital Group,Бадаевский,"814,3",7,0,,,Бадаевский,0,11
Москва,01.03.2023,Capital Group,Золотой,"553,5",4,0,,,Золотой,0,4
Москва,01.03.2023,Capital Group,Капитал Тауэрс,"732,7",6,0,,,Капитал Тауэрс,0,11
Москва,01.03.2023,Coldy,Найс Лофт,"370,4",14,0,,,Найс Лофт,0,11
Москва,01.03.2023,Glorax,Аура Белорусская,"250,6",3,0,,,Аура Белорусская,0,11
МО,01.03.2023,Glorax,Олимп (Хотьково),158,3,0,,,Олимп (Хотьково),0,11
Москва,01.03.2023,Gravion,Культ,"54,1",2,0,,,Культ,0,11
Москва,01.03.2023,Hutton Development,Лунар,"352,8",4,0,,,Лунар,0,11
МО,01.03.2023,Ikon Development,Новый Зеленоград,"631,4",14,0,,,Новый Зеленоград,0,11
Москва,01.03.2023,Ikon Development,Чкалов,"67,4",1,0,,,Чкалов,0,11
